Batch	Day	Size (µm2)	radius	Volume
Batch 12	Day10	435626.602	372.3764951	216289476.3
Batch 12	Day10	478338.526	390.2049228	248866730.1
Batch 12	Day10	711972.935	476.0546438	451917362.6
Batch 12	Day10	394343.324	354.2927865	186283993.5
Batch 12	Day10	530249.091	410.8327248	290458238.5
Batch 12	Day10	483500.088	392.3045475	252905711
Batch 12	Day10	398795.171	356.2870268	189447394.4
Batch 12	Day10	468264.263	386.074014	241046218.2
Batch 12	Day10	441838.91	375.0222569	220932566.9
Batch 12	Day10	449959.153	378.4527008	227051009
Batch 12	Day10	640383.916	451.4870224	385500036.6
Batch 12	Day10	394896.349	354.5411287	186675996.4
Batch 12	Day10	455369.576	380.7212076	231158473.2
Batch 12	Day10	389430.623	352.078993	182813788.8
Batch 12	Day10	404666.448	358.9001686	193646475.2
Batch 12	Day10	409431.675	361.0071327	197077006.7
Batch 12	Day10	414436.547	363.2068971	200701616.4
Batch 12	Day10	1310059.7	645.7592074	1127977485
Batch 12	Day10	423856.397	367.311423	207583061.8
Batch 12	Day10	914831.533	539.6294295	658226690.9
Batch 12	Day10	547245.376	417.365084	304534816.4
Batch 12	Day10	650135.581	454.9116209	394338974.6
Batch 12	Day10	762971.01	492.8095122	501332495.1
Batch 12	Day10	402869.118	358.1022523	192357784.7
Batch 13	Day10	660937.993	458.6753725	404207973.5
Batch 13	Day10	555172.061	420.3769208	311175362
Batch 13	Day10	665694.003	460.3226937	408578742.2
Batch 13	Day10	476762.406	389.561532	247637724.4
Batch 13	Day10	511160.529	403.3701152	274915841.9
Batch 13	Day10	549623.382	418.2709124	306521964.6
Batch 13	Day10	561983.479	422.9478659	316919617.5
Batch 13	Day10	398048.588	355.9533688	188915647.8
Batch 13	Day10	531428.876	411.2895149	291428166.1
Batch 13	Day10	522257.887	407.7252121	283916943.7
Batch 13	Day10	513409.495	404.2565002	276732167.5
Batch 13	Day10	531696.171	411.3929359	291648065
Batch 13	Day10	544443.386	416.2952224	302198907.3
Batch 13	Day10	531281.403	411.2324439	291306866.3
Batch 13	Day10	475186.286	388.9170768	246410748.4
Batch 13	Day10	502173.881	399.8085928	267697910.3
Batch 13	Day10	539632.073	414.4517146	298201917.2
Batch 13	Day10	515031.7	404.8946552	278044776.8
Batch 13	Day10	506708.682	401.6097395	271332189.1
Batch 13	Day10	594132.635	434.8773292	344499751.3
Batch 13	Day10	794631.661	502.9305256	532859358.6
Batch 13	Day10	636558.83	450.1366112	382051246.1
