day	antibody	rep	percent
0	TRA1-60	1	84.8
0	CXCR4	1	0.13
0	NCAM	1	3.16
3	TRA1-60	1	48.2
3	TRA1-60	2	48.2
3	TRA1-60	3	48.4
3	CXCR4	1	93.3
3	CXCR4	2	92.9
3	CXCR4	3	95.1
3	NCAM	1	0
3	NCAM	2	0
3	NCAM	3	0
6	TRA1-60	1	4.81
6	TRA1-60	2	5.83
6	TRA1-60	3	6.79
6	CXCR4	1	62.1
6	CXCR4	2	57
6	CXCR4	3	69.7
6	NCAM	1	1.81
6	NCAM	2	1.5
6	NCAM	3	0.38
9	TRA1-60	1	0.49
9	TRA1-60	2	1.19
9	TRA1-60	3	0.62
9	CXCR4	1	83.8
9	CXCR4	2	74.3
9	CXCR4	3	88.1
9	NCAM	1	0.14
9	NCAM	2	0.31
9	NCAM	3	0.35
11	TRA1-60	1	4.11
11	TRA1-60	2	1.52
11	TRA1-60	3	4.86
11	CXCR4	1	48.9
11	CXCR4	2	57.9
11	CXCR4	3	46.4
11	NCAM	1	1.43
11	NCAM	2	0.76
11	NCAM	3	1.9
13	TRA1-60	1	0.13
13	TRA1-60	2	0.15
13	TRA1-60	3	9.27
13	CXCR4	1	79.8
13	CXCR4	2	78.9
13	CXCR4	3	73.8
13	NCAM	1	0.22
13	NCAM	2	0.18
13	NCAM	3	0.8
16	TRA1-60	1	4.04
16	TRA1-60	2	2.29
16	TRA1-60	3	3.12
16	CXCR4	1	92.5
16	CXCR4	2	88.1
16	CXCR4	3	89.6
16	NCAM	1	0.31
16	NCAM	2	0.21
16	NCAM	3	0.25
21	TRA1-60	1	0.18
21	TRA1-60	2	0.29
21	TRA1-60	3	0.16
21	CXCR4	1	45.2
21	CXCR4	2	52.3
21	CXCR4	3	44.7
21	NCAM	1	9.8
21	NCAM	2	8.74
21	NCAM	3	9.12
25	TRA1-60	1	0.2
25	TRA1-60	2	0.2
25	TRA1-60	3	0.18
25	CXCR4	1	38.7
25	CXCR4	2	59.8
25	CXCR4	3	54.4
25	NCAM	1	8.78
25	NCAM	2	7.01
25	NCAM	3	14.1
32	TRA1-60	1	0.072
32	TRA1-60	2	0
32	TRA1-60	3	0.28
32	CXCR4	1	23.3
32	CXCR4	2	23.4
32	CXCR4	3	23.5
32	NCAM	1	29.4
32	NCAM	2	31.2
32	NCAM	3	19.8
41	TRA1-60	1	1.09
41	TRA1-60	2	1.26
41	TRA1-60	3	0.87
41	CXCR4	1	5.62
41	CXCR4	2	1.01
41	CXCR4	3	0.39
41	NCAM	1	48.2
41	NCAM	2	72.6
41	NCAM	3	75.9
