day	source	rep	count	hq
0	facs	1	24000	TRUE
0	facs	2	24000	TRUE
0	facs	3	24000	TRUE
3	facs	1	9200	TRUE
3	facs	2	6000	TRUE
3	facs	3	5830	TRUE
6	facs	1	23450	TRUE
6	facs	2	86500	TRUE
6	facs	3	31500	TRUE
9	facs	1	97250	TRUE
9	facs	2	56000	TRUE
9	facs	3	100500	TRUE
10	area	b12	51172	TRUE
10	area	b12	52144	TRUE
10	area	b12	52253	TRUE
10	area	b12	53029	TRUE
10	area	b12	53844	TRUE
10	area	b12	54205	TRUE
10	area	b12	55165	TRUE
10	area	b12	56179	TRUE
10	area	b12	58106	TRUE
10	area	b12	60543	TRUE
10	area	b12	61842	TRUE
10	area	b12	63555	TRUE
10	area	b12	64705	TRUE
10	area	b12	67473	TRUE
10	area	b12	69662	TRUE
10	area	b12	70792	TRUE
10	area	b12	81304	TRUE
10	area	b12	85244	TRUE
10	area	b12	107907	TRUE
10	area	b12	110382	TRUE
10	area	b12	126499	TRUE
10	area	b12	140331	TRUE
10	area	b12	184248	TRUE
10	area	b12	315738	TRUE
10	area	b13	52880	TRUE
10	area	b13	67256	TRUE
10	area	b13	68974	TRUE
10	area	b13	69318	TRUE
10	area	b13	74933	TRUE
10	area	b13	75950	TRUE
10	area	b13	76953	TRUE
10	area	b13	77462	TRUE
10	area	b13	77829	TRUE
10	area	b13	79473	TRUE
10	area	b13	81541	TRUE
10	area	b13	81575	TRUE
10	area	b13	81637	TRUE
10	area	b13	83471	TRUE
10	area	b13	84590	TRUE
10	area	b13	85800	TRUE
10	area	b13	87103	TRUE
10	area	b13	88711	TRUE
10	area	b13	96431	TRUE
10	area	b13	106942	TRUE
10	area	b13	113144	TRUE
10	area	b13	114368	TRUE
10	area	b13	149156	TRUE
10	area	b17	124934	TRUE
10	area	b17	168849	TRUE
10	area	b17	191004	TRUE
10	area	b17	197269	TRUE
10	area	b17	204033	TRUE
10	area	b17	214998	TRUE
10	area	b17	225394	TRUE
10	area	b17	226113	TRUE
10	area	b17	251240	TRUE
10	area	b17	268850	TRUE
10	area	b17	300178	TRUE
10	area	b17	331273	TRUE
10	area	b18	54883	TRUE
10	area	b18	57523	TRUE
10	area	b18	57984	TRUE
10	area	b18	59119	TRUE
10	area	b18	61333	TRUE
10	area	b18	63033	TRUE
10	area	b18	63097	TRUE
10	area	b18	63788	TRUE
10	area	b18	68225	TRUE
10	area	b18	72541	TRUE
10	area	b18	76069	TRUE
10	area	b18	87384	TRUE
10	area	b18	93110	TRUE
10	area	b18	111085	TRUE
10	area	b19	77980	TRUE
10	area	b19	78506	TRUE
10	area	b19	80357	TRUE
10	area	b19	81192	TRUE
10	area	b19	82411	TRUE
10	area	b19	83749	TRUE
10	area	b19	84918	TRUE
10	area	b19	85020	TRUE
10	area	b19	85878	TRUE
10	area	b19	88651	TRUE
10	area	b19	89538	TRUE
10	area	b19	90754	TRUE
10	area	b19	98967	TRUE
10	area	b19	134724	TRUE
10	area	b19	143406	TRUE
10	area	b19	181337	TRUE
13	area	b16	90520	TRUE
13	area	b16	91611	TRUE
13	area	b16	98273	TRUE
13	area	b16	110563	TRUE
13	area	b16	112866	TRUE
13	area	b16	114168	TRUE
13	area	b16	120376	TRUE
13	area	b16	137778	TRUE
13	area	b17	101250	TRUE
13	area	b17	124680	TRUE
13	area	b17	135196	TRUE
13	area	b17	157838	TRUE
13	area	b17	211954	TRUE
13	area	b17	240614	TRUE
13	area	b19	100700	TRUE
13	area	b19	100720	TRUE
13	area	b19	119207	TRUE
13	area	b19	119750	TRUE
13	area	b19	124353	TRUE
13	area	b19	136042	TRUE
13	area	b19	143913	TRUE
13	area	b19	161542	TRUE
13	area	b19	164230	TRUE
13	area	b19	168767	TRUE
13	area	b19	172449	TRUE
13	area	b19	190380	TRUE
13	area	b19	208935	TRUE
13	area	b19	221707	TRUE
13	facs	1	127500	TRUE
13	facs	2	152500	TRUE
13	facs	3	121750	TRUE
14	area	b18	86787	TRUE
14	area	b18	96484	TRUE
14	area	b18	110351	TRUE
14	area	b18	110679	TRUE
14	area	b18	126773	TRUE
14	area	b18	133148	TRUE
14	area	b18	139637	TRUE
14	area	b18	140188	TRUE
14	area	b18	147833	TRUE
14	area	b18	160894	TRUE
16	facs	1	354000	TRUE
16	facs	2	393000	TRUE
16	facs	3	205800	TRUE
17	area	b16	275292	TRUE
17	area	b16	284104	TRUE
17	area	b16	303373	TRUE
17	area	b16	341284	TRUE
17	area	b16	364496	TRUE
17	area	b16	400231	TRUE
17	area	b16	440838	TRUE
17	area	b17	305783	TRUE
17	area	b17	347734	TRUE
17	area	b17	352560	TRUE
17	area	b17	352564	TRUE
17	area	b17	415571	TRUE
17	area	b17	424028	TRUE
17	area	b17	498474	TRUE
17	area	b17	529315	TRUE
17	area	b17	567146	TRUE
17	area	b17	588794	TRUE
17	area	b17	660877	TRUE
17	area	b17	667306	TRUE
17	area	b18	282137	TRUE
17	area	b18	310165	TRUE
17	area	b18	310703	TRUE
17	area	b18	352383	TRUE
17	area	b18	382781	TRUE
17	area	b18	395366	TRUE
17	area	b18	463058	TRUE
17	area	b18	612131	TRUE
17	area	b18	627555	TRUE
17	area	b18	674893	TRUE
17	area	b19	222614	TRUE
17	area	b19	238272	TRUE
17	area	b19	263119	TRUE
17	area	b19	276485	TRUE
17	area	b19	279986	TRUE
17	area	b19	281369	TRUE
17	area	b19	298187	TRUE
17	area	b19	312270	TRUE
17	area	b19	320546	TRUE
17	area	b19	328814	TRUE
19	area	b12	437136	TRUE
19	area	b12	453029	TRUE
19	area	b12	461472	TRUE
19	area	b12	517339	TRUE
19	area	b12	517671	TRUE
19	area	b12	594589	TRUE
19	area	b13	349853	TRUE
19	area	b13	396996	TRUE
19	area	b13	441925	TRUE
19	area	b13	536257	TRUE
19	area	b13	603065	TRUE
19	area	b13	607358	TRUE
19	area	b17	389763	TRUE
